No.;Municipal District;Regional Public Highways (km);Unpaved Roads (km);Unclassified Roads (km);Winter Roads (km);Watercourses (km);Water Bodies (km²);Forest Area (km²);Average Elevation (m);Average Slope (°);Distance to Nearest Settlement (median, km);Winter Road to Watercourse Distance (Euclidean, km);Road Surface Type;Permafrost Zone Area (km²);Swamp Area (km²);Average Snow Depth (cm);Oil & Gas Pipeline Length (km);Power Line Length (km);Power Line & Highway Crossings (count);Winter Road & Power Line Crossings (count);Winter Road & Watercourse Crossings (count);Power Line & Winter Road Crossings (count);Pipeline & Highway Crossings (count);Pipeline & Winter Road Crossings (count);Winter Roads (count);Name;Opening Date;Closing Date;Length (km);River crossing(count);Crossing Name;Opening Date;Load Capacity (tons);Closing Date;Population Density (people/km²);Total Permanent Population (2025);Urban Permanent Population (2025);Rural Permanent Population (2025);Urbanization Rate (%)
41;Мотыгинский муниципальный район;125,176;30,89;30,89;42,946;246,757;0;18893.0;340,00;1,81;86,07;88,93;5,00;0;17,084;6,852631579;225,95;722,267;4;0;0;0;1;0;2;"Дорога Кирсантьево - Устье - Машуковка; Дорога Момотово-Захаровка-Стрелка (зимник)";;"21 марта 2025; 28 марта 2025";"11,05; 11,08";3;"Дорога Мотыгино-Широкий Лог (15+780); Дорога Мотыгино-Широкий Лог (58+715); Дорога Мотыгино-Широкий Лог-Машуковка (24+400)";"-; 14.03.2025; 14.03.2025";"-; -; -";"09.04.2024; 04.04.2025; 21.03.2025";0,014;11824;6631;5193;58
42;Назаровский муниципальный район;77,499;5,573;5,573;0;43,701;0;4217.0;315,00;0,87;0,00;0,00;12,00;0;1,549;3,151162791;178,579;955,521;12;0;0;0;7;0;0;0;0;-;-;-;-;-;-;-;0,094;19865;0;19865;0
43;Нижнеингашский муниципальный район;0;2,234;2,234;40,877;0;0;6201.0;292,00;0,72;43,24;0,00;5,00;0;82,154;5,103174603;149,934;277,119;0;0;0;0;0;0;3;"Дорога Ильинка - Южная Тунгуска (зимник); Дорога Тиличеть-Кедровый (зимник); Дорога Южная Тунгуска - Сосновка (зимник)";;"21 марта 2025; 09 марта 2025; 20 декабря 2022";"25,05; 15,98; 8,15";-;-;-;-;-;5,468;23137;13182;9955;58
44;Новоселовский муниципальный район;117,404;0;0;0;122,947;419,674;3929.0;408,00;2,15;0,00;0,00;12,00;0;0;2,75;29,107;114,832;9;0;0;0;2;0;0;0;0;-;-;1;Дорога Новоселово-Пристань (5+330);45679;-;19.03.2025.;4,666;10456;0;10456;0
45;Партизанский муниципальный район;10,555;15,132;15,132;0;0;0;4921.0;814,00;2,97;0,00;0,00;1,00;2730,465;132,056;4,688888889;9,582;200,015;1;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;0,765;7801;0;70801;0
46;Пировский муниципальный округ;66,954;0;0;84,451;0;0;6180.0;205,00;0,44;0,00;0,00;5,00;0;0,018;6,5;0;368,903;4;0;0;0;0;0;2;"Дорога Кирсантьево-Устье-Машуковка (зимник); Дорога Тасеево - Усть-Кайтым (зимник)";;"31 марта 2025; 20 марта 2025";"20,08; 29,53";-;-;-;-;-;14,696;5571;0;5571;0
47;поселок Кедровый;0;0;0;0;0;0;27.0;320,00;1,04;0,00;0,00;5,00;0;0;0;0;53,342;0;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;35,783;3707;3707;0;100
48;Рыбинский муниципальный район;158,275;5,674;5,674;0;46,601;0;3542.0;350,00;1,02;0,00;0,71;5,00;0;13,254;3,578125;82,275;32,944;28;0;0;0;4;0;0;0;0;-;-;-;-;-;-;-;420,883;29014;15031;13983;52
49;Саянский муниципальный район;33,428;63,154;63,154;0;142,295;0;7991.0;822,00;3,85;0,00;0,00;5,00;20169,777;97,195;4,716049383;103,62;21,129;1;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;238,814;8889;0;8889;0
50;Северо-Енисейский муниципальный район;240,806;144,027;144,027;127,674;0;0;47144.0;405,00;2,21;63,74;177,08;1,00;5938,107;2,513;7,765957447;0;158,283;30;3;0;3;0;0;0;0;0;-;-;-;-;-;-;-;15,74;8173;5910;2263;74
51;Сухобузимский муниципальный район;83,363;68,468;68,468;0;114,965;0;5571.0;282,00;1,34;0,00;0,00;5,00;0;41,018;4,379310345;93,204;6,974;13;0;0;0;2;0;0;0;0;-;-;-;-;-;-;-;282,271;18668;0;18668;0
52;Таймырский Долгано-Ненецкий муниципальный район;24,568;19,864;19,864;142,574;3426,627;12135,372;839442.0;90,00;0,77;81,42;392,77;7,00;8136461,264;1392,475;4,778426003;254,264;61,21;3;0;3;0;0;0;0;0;0;-;-;-;-;-;-;-;295,164;29697;19781;9916;68
53;Тасеевский муниципальный район;25,285;0;0;98,406;0;0;9546.0;237,00;0,98;21,08;1,77;5,00;0;29,329;5,79787234;7,056;28,657;0;0;0;0;0;0;2;"Дорога Кирсантьево-Устье-Машуковка (зимник); Дорога Тасеево - Усть-Кайтым (зимник)";;"21 марта 2025; 21 марта 2025";"23,05; 51,98";-;-;-;-;-;36,626;9758;0;9758;0
54;Туруханский муниципальный район;0;16,35;169,568;688,086;1381,27;91,704;209464.0;104,00;0,51;97,11;17,43;8,00;778697,674;2454,751;8,699616123;0;42,422;0;13;18;13;0;0;3;"Дорога Бор-Верхнеимбатск (зимник); Дорога Енисейск-Ярцево-Ворогово-Бор (зимник); Дорога Подъезд к Ворогово";;"14 апреля 2025; 10 апреля 2025; 10 апреля 2025";"247,81; 147,62; 4,61";-;-;-;-;-;146,452;12656;3576;9080;30
55;Тюхтетский муниципальный округ;16,445;32,024;32,024;0;56,382;0;9294.0;194,00;0,27;0,00;0,00;5,00;0;12,954;6,195876289;0;434,718;5;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;1,625;7346;0;7346;0
56;Ужурский муниципальный район;167,885;28,289;28,289;0;46,729;5,131;4212.0;427,00;1,26;0,00;0,00;12,00;0;1,936;2,333333333;0;88,298;10;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;59,947;27195;14138;13057;52
57;Уярский муниципальный район;12,574;0,1;0,1;27,886;2,657;0;2230.0;382,00;1,07;27,07;0,00;5,00;0;1,126;2,717391304;45,972;169,536;2;0;0;0;0;0;2;"Дорога Никольское-Речка; Дорога Роща-Пинчино (зимник)";;"20 марта 2025; 20 марта 2025";"20,09; 7,56";-;-;-;-;-;109,708;17788;11779;6009;68
58;Шарыповский муниципальный округ;151,057;12,097;12,097;0;1,472;53,563;3705.0;375,00;1,33;0,00;0,00;12,00;0;16,297;3,513513514;25,193;7,515;36;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;331,261;11239;0;11239;0
59;Шушенский муниципальный район;93,615;8,976;8,976;0;164,756;0;10151.0;1101,00;7,85;0,00;0,00;1,00;12602,369;0;4,346534653;0;0;15;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;1091,712;29997;167;13297;2
60;Эвенкийский муниципальный район;0;535,031;535,041;792,639;4195,501;710,351;758365.0;433,00;1,66;283,62;34,12;7,00;6806338,692;976,564;6,692144655;394,456;1,724;0;0;9;0;0;1;0;0;0;-;-;-;-;-;-;-;3937,688;13129;0;13129;0
